id,alpha,delta,magnitude,diameter,axisRatio,posAngle,Common name,PGC,PGC2,Messier
IC801,188.437308,52.254801,14.80,0.65,1.39,60,,PGC41739,,
NGC4523,188.449963,15.168347,15.10,0.50,1.07,,,PGC41746,,
IC3500,188.456936,13.962777,15.30,0.73,1.48,86,,PGC41751,,
NGC4520,188.457911,-7.375474,13.91,0.64,1.73,105,,PGC41748,,
NGC4525,188.463060,30.277437,13.00,1.10,1.56,45,,PGC41755,,
IC3501,188.465059,13.322453,15.00,0.49,1.09,170,,PGC41754,,
NGC4524,188.476606,-12.027675,14.00,0.62,1.39,75,,PGC41757,,
IC800,188.486313,15.354542,14.30,0.96,2.08,150,,PGC41763,,
NGC4526,188.512621,7.699139,10.60,7.94,2.82,163,,PGC41772,,
NGC4534,188.522550,35.518353,13.20,2.75,1.41,125,,PGC41779,,
NGC4528,188.525286,11.321258,12.06,1.04,1.67,5,,PGC41781,,
IC3508,188.528934,26.670763,15.40,0.45,1.14,20,,PGC41774,,
NGC4527,188.535200,2.654100,12.40,6.03,3.24,68,,PGC6656564,PGC41789,
IC3505,188.542980,15.968248,15.30,0.66,2.50,170,,PGC41792,,
IC3509,188.548052,12.048934,15.30,0.38,1.25,45,,PGC41797,,
IC3510,188.561751,11.071509,15.20,0.41,1.09,5,,PGC41803,,
NGC4531,188.566113,13.075303,12.42,1.78,1.51,155,,PGC41806,,
IC3516,188.572250,27.452356,16.00,0.51,3.56,75,,PGC41808,,
NGC4532,188.580537,6.467703,12.30,1.44,2.94,160,,PGC41811,,
NGC4535,188.584768,8.197752,11.10,7.08,1.15,0,,PGC41812,,
NGC4533,188.591747,2.325393,14.70,8.33,1.12,92,,PGC41816,,
NGC4536,188.612800,2.188300,10.55,7.41,2.40,108,,PGC41823,,
IC3517,188.628791,9.154120,15.30,0.97,1.55,13,,PGC41829,,
IC3518,188.630379,9.623434,15.30,1.17,2.19,37,,PGC41828,,
IC3520,188.632527,13.503668,15.40,0.63,1.45,26,,PGC41830,,
NGC4545,188.642343,63.525075,13.10,1.13,1.67,5,,PGC41838,,
NGC4539,188.644748,18.202645,13.50,1.89,3.33,90,,PGC41839,,
IC3521,188.664635,7.160189,14.20,0.53,1.38,18,,PGC41847,,
NGC4538,188.670422,3.323580,14.80,0.48,2.00,75,,PGC41850,,
IC3522,188.689901,15.220779,17.00,0.50,1.95,94,,PGC41865,,
NGC4542,188.703824,50.805171,15.50,0.64,1.47,15,,PGC41864,,
NGC4537,188.747306,50.851143,16.00,0.43,2.00,90,,PGC41909,,
IC3530,188.705429,17.814503,15.20,0.58,1.25,120,,PGC41853,,
NGC4540,188.711976,15.551699,12.50,1.26,1.14,35,,PGC41876,,
NGC4547,188.716022,58.916765,15.30,0.63,1.28,115,,PGC41896,,
NGC4549,188.838621,58.949686,16.00,0.36,1.78,100,,PGC41954,,
IC3528,188.732917,15.565654,17.00,0.40,1.02,125,,PGC41882,,
IC3531,188.735835,+26.626111,16.55,0.43,1.10,80,,,,
IC3533,188.755334,25.779708,15.70,0.32,1.22,15,,PGC41891,,
NGC4541,188.794448,-0.221115,14.00,0.87,2.00,95,,PGC41911,,
IC3536,188.802033,26.533297,15.00,0.40,2.94,155,,PGC41912,,
NGC4543,188.834504,6.115317,14.60,0.56,1.47,175,,PGC41923,,
NGC4548,188.860186,14.496322,13.57,5.37,1.20,,,PGC41934,,M91
IC3540,188.863449,12.750263,14.80,0.52,1.19,65,,PGC41936,,
NGC4546,188.872888,-3.793162,10.32,2.29,2.17,80,,PGC41939,,
NGC4550,188.877464,12.220811,11.68,1.83,2.94,0,,PGC41943,,
NGC4562,188.894030,25.849552,14.60,2.09,3.07,49,,PGC41955,,
NGC4507,188.902641,-39.909364,13.54,1.12,1.19,60,,PGC41960,,
NGC4544,188.902319,3.034485,14.40,1.11,3.33,165,,PGC41958,,
NGC4551,188.908143,12.263968,12.02,1.24,1.32,70,,PGC41963,,
NGC4552,188.915864,12.556342,9.75,6.92,1.07,,,PGC41968,,M89
IC3543,188.922746,26.285497,16.50,0.56,5.00,140,,PGC41974,,
NGC4555,188.921633,26.523080,13.50,1.05,1.19,130,,PGC41975,,
IC3546,188.923646,26.222164,15.30,0.61,1.85,140,,PGC41976,,
NGC4572,188.939100,74.242622,14.90,1.15,3.57,0,,PGC41991,,
NGC4556,188.941066,26.908877,14.40,0.91,1.47,85,,PGC41980,,
NGC4558,188.969363,26.992131,15.10,0.54,1.19,110,,PGC41995,,
NGC4557,188.957083,27.053889,15.00,0.71,2.34,174,,,,
IC802,188.990130,+74.301333,,1.00,,,,,,
NGC4559,188.990168,27.959961,10.01,10.23,2.34,150,,PGC42002,,
IC3556,188.993559,26.966048,15.60,0.34,1.16,10,,PGC42005,,
NGC4566,189.000491,54.220973,13.31,0.75,1.35,75,,PGC42007,,
IC3559,189.014003,26.987315,15.60,0.32,2.17,70,,PGC42012,,
IC3560,189.016695,+27.077808,16.38,0.78,1.22,52,,,,
IC3561,189.019967,26.899596,15.70,0.48,2.17,75,,PGC42013,,
NGC4553,189.031667,-39.438721,13.20,1.40,1.92,175,,PGC42018,,
NGC4561,189.033904,19.322589,12.70,0.73,1.25,120,,PGC42020,,
IC3557,189.033920,16.641406,15.00,0.47,1.28,105,,PGC42015,,
IC3569,189.033904,19.322589,12.70,0.73,1.25,120,,PGC42020,,
IC3562,189.043967,9.922617,15.60,0.73,2.51,46,,PGC42021,,
IC3565,189.052080,+26.755556,16.96,0.31,1.35,23,,,,
NGC4563,189.053638,26.941446,15.70,0.42,1.67,115,,PGC42030,,
IC3571,189.083295,26.083772,,0.60,1.18,,,PGC2793674,,
NGC4565,189.086683,25.987392,12.43,13.80,6.30,135,,PGC42038,,
IC3567,189.094657,13.602857,15.30,0.36,1.47,5,,PGC42044,,
NGC4564,189.112446,11.439223,11.12,1.92,2.08,50,,PGC42051,,
IC3582,189.126608,26.200231,14.30,0.46,1.79,45,,PGC42060,,
NGC4567,189.136242,11.257977,11.31,2.88,1.29,88,Siamese Twins,PGC42064,,
NGC4568,189.142883,11.238631,11.19,4.57,1.90,28,Siamese Twins,PGC42069,,
IC3576,189.156980,6.620887,15.40,2.24,1.05,,,PGC42074,,
IC3581,189.158296,24.428597,14.90,0.49,1.32,55,,PGC42076,,
IC3578,189.164215,11.101874,15.10,0.67,2.34,137,,PGC42079,,
IC3585,189.166257,26.829932,15.00,0.57,1.04,150,,PGC42067,,
IC3583,189.181492,13.259147,13.31,2.20,2.00,0,,PGC42081,,
IC3587,189.201475,27.548600,16.00,0.91,5.55,120,,PGC42083,,
NGC4569,189.207504,13.162923,9.54,9.77,2.24,23,,PGC42089,,M90
NGC4570,189.222428,7.246583,11.80,2.51,3.57,160,,PGC42096,,
IC3592,189.222685,27.862050,15.10,0.49,1.79,130,,PGC42097,,
IC3593,189.224711,27.749061,15.40,0.42,1.28,10,,PGC42098,,
IC3586,189.228575,12.520136,15.30,0.39,1.14,50,,PGC42099,,
NGC4571,189.234885,14.217305,13.60,1.61,1.09,75,,PGC42100,,
IC3598,189.337775,28.208149,14.74,0.74,2.08,140,,PGC42137,,
NGC4589,189.354115,74.191918,12.00,3.47,1.26,81,,PGC42139,,
NGC4578,189.377321,9.555067,12.90,1.39,1.32,25,,PGC42149,,
NGC4576,189.389796,4.367674,14.70,0.70,1.79,160,,PGC42152,,
IC3600,189.421509,27.129564,15.50,0.26,1.35,150,,PGC42161,,
IC3599,189.421641,26.707635,16.50,0.33,1.25,150,,PGC42154,,
NGC4574,189.431343,-35.517560,13.69,0.89,1.43,105,,PGC42166,,
NGC4573,189.432369,-43.621097,13.48,0.84,1.35,100,,PGC42167,,
NGC4579,189.431400,11.818300,9.66,5.62,1.29,88,,PGC42168,,M58
NGC4580,189.451564,5.368508,13.10,1.41,1.32,155,,PGC42174,,
NGC4575,189.462996,-40.537406,13.06,1.28,1.85,95,,PGC42181,,
IC3601,189.473521,15.224656,,0.53,1.72,170,,PGC165275,,
NGC4583,189.518871,33.458822,14.47,0.71,1.09,120,,PGC42198,,
NGC4581,189.521545,1.477748,13.40,0.90,1.52,170,,PGC42199,,
IC3602,189.529571,10.082561,15.50,0.26,1.25,55,,PGC42205,,
NGC4585,189.555339,28.937008,14.22,0.60,1.72,105,,PGC42215,,
NGC4584,189.574474,13.109862,13.77,0.86,1.47,15,,PGC42223,,
NGC4586,189.618374,4.319191,13.50,2.27,3.13,115,,PGC42241,,
IC3609,189.644678,14.352399,15.50,0.50,1.25,0,,PGC42251,,
NGC4587,189.647591,2.657326,14.40,0.79,1.85,45,,PGC42253,,
IC3608,189.655535,10.475870,15.40,0.66,2.78,95,,PGC42264,,
NGC4588,189.688796,6.767858,15.10,0.54,3.34,60,,PGC42277,,
IC3615,189.756712,18.200644,15.40,0.61,3.13,10,,PGC42306,,
IC3611,189.766662,13.363800,14.70,0.50,1.28,125,,PGC42307,,
NGC4591,189.801828,6.012278,14.10,0.88,2.08,35,,PGC42319,,
IC3618,189.821357,26.677770,15.50,0.39,1.09,35,,PGC42315,,
IC3620,189.825042,27.908742,15.60,0.58,3.12,165,,PGC42330,,
NGC4592,189.828143,-0.532092,12.40,1.54,2.63,95,,PGC42336,,
IC3617,189.852709,7.964772,14.80,0.40,2.19,62,,PGC42348,,
IC3623,189.865130,27.102346,15.20,0.44,1.16,75,,PGC42353,,
NGC4590,189.866583,-26.744056,7.96,12.00,,,,,,M68
IC3626,189.881892,25.677390,15.70,0.38,1.43,170,,PGC42355,,
IC803,189.906083,16.588644,15.30,0.56,3.13,125,,PGC42367,,
NGC4593,189.914348,-5.344176,13.15,2.75,1.20,38,,PGC42375,,
IC3631,189.950074,12.973971,14.50,0.70,1.79,90,,PGC42389,,
NGC4595,189.966306,15.297762,12.80,1.55,1.55,110,,PGC42396,,
NGC4596,189.983144,10.176163,12.40,2.23,1.51,75,,PGC42401,,
NGC4594,189.997633,-11.623054,8.00,8.51,1.70,90,Sombrero Galaxy,PGC42407,,M104
NGC4605,189.997016,61.609117,10.94,6.03,2.46,125,,PGC42408,,
IC3633,190.046871,9.896126,15.40,0.25,1.25,10,,PGC42426,,
NGC4598,190.049732,8.383745,14.10,0.85,1.43,145,,PGC42427,,
NGC4597,190.053879,-5.799289,12.30,0.67,1.28,115,,PGC42429,,
IC3635,190.055558,12.874994,15.50,0.37,1.52,5,,PGC42430,,
IC3638,190.069173,10.518519,14.60,0.36,1.28,20,,PGC42435,,
IC3637,190.081523,14.714996,15.60,0.83,2.24,21,,PGC42443,,
NGC4600,190.095678,3.117761,13.00,1.00,1.67,55,,PGC42447,,
NGC4599,190.112900,1.196918,13.70,1.08,2.50,145,,PGC42453,,
IC3645,190.150817,26.505753,15.40,0.71,3.85,15,,PGC42479,,
NGC4602,190.153533,-5.133011,12.34,3.39,1.99,58,,PGC42476,,
IC3646,190.160446,26.526025,15.40,0.41,2.00,85,,PGC42478,,
NGC4601,190.194756,-40.893030,14.20,1.22,3.33,15,,PGC42492,,
IC3650,190.202505,+26.472778,15.00,0.80,,,,,,
IC3651,190.220398,26.728103,14.40,0.64,1.14,85,,PGC42500,,
IC3639,190.220144,-36.755849,13.50,0.79,1.16,60,,PGC42504,,
NGC4606,190.239821,11.912186,12.70,1.47,2.08,35,,PGC42516,,
IC3652,190.244001,11.184467,15.10,0.46,1.09,145,,PGC42521,,
NGC4617,190.274596,50.393435,14.20,1.45,4.55,0,,PGC42530,,
NGC4607,190.301696,11.886628,14.70,1.69,4.54,5,,PGC42544,,
NGC4608,190.305354,10.155649,12.60,1.71,1.85,25,,PGC42545,,
IC3653,190.315531,11.387222,14.70,0.50,1.11,80,,PGC42550,,
IC804,190.316670,-5.009167,14.96,1.03,2.10,64,,,,
IC3658,190.335975,14.700560,15.50,0.67,1.91,72,,PGC42558,,
NGC4611,190.356004,13.729490,15.10,0.77,3.56,125,,PGC42564,,
NGC4613,190.370581,26.088606,15.50,0.41,1.16,30,,PGC42570,,
NGC4614,190.381107,26.042688,14.20,0.75,1.61,115,,PGC42573,,
NGC4618,190.387074,41.150885,10.78,1.57,1.16,55,,PGC42575,,
NGC4612,190.386475,7.314871,11.90,1.28,1.28,135,,PGC42574,,
IC3662,190.401098,23.425147,15.20,0.42,1.19,145,,PGC42583,,
NGC4615,190.405485,26.072807,13.80,1.13,3.57,115,,PGC42584,,
NGC4648,190.434955,74.421028,12.60,1.08,1.35,75,,PGC42595,,
NGC4619,190.435631,35.062768,13.50,0.85,1.14,145,,PGC42594,,
IC3665,190.441868,11.488662,15.30,1.00,1.48,90,,PGC42598,,
IC3671,190.464050,23.510622,15.50,0.56,1.04,,,PGC42599,,
IC3675,190.469634,41.273921,12.35,1.78,1.26,116,,PGC42607,,
NGC4625,190.469634,41.273921,12.35,1.78,1.26,116,,PGC42607,,
IC808,190.477500,+19.931944,,,,,,,,
NGC4620,190.497285,12.942846,14.00,0.93,1.11,40,,PGC42619,,
NGC4627,190.499866,32.573559,12.43,2.60,1.44,10,,PGC42620,,
NGC4621,190.509409,11.646919,11.00,5.50,1.38,164,,PGC42628,,M59
NGC4631,190.533371,32.541511,9.19,13.49,5.51,86,,PGC42637,,
IC809,190.536114,11.754289,15.10,0.56,1.19,135,,PGC42638,,
NGC4603,190.230093,-40.976406,11.30,2.08,1.56,30,,PGC42510,,
IC806,190.535110,-17.349273,15.00,0.46,1.28,115,,PGC42642,,
IC3672,190.536114,11.754289,15.10,0.56,1.19,135,,PGC42638,,
IC810,190.537832,12.596810,14.70,0.92,2.63,170,,PGC42643,,
NGC4623,190.544547,7.676981,13.24,1.43,2.94,175,,PGC42647,,
IC807,190.552034,-17.403429,15.00,0.57,1.66,106,,PGC42635,,
IC3687,190.563142,38.501624,15.50,1.70,1.12,356,,PGC42656,,
NGC4616,190.568632,-40.642090,12.80,0.80,1.04,10,,PGC42662,,
NGC4609,190.582000,-62.995000,6.90,5.00,,,,,,
NGC4628,190.605198,-6.971057,13.80,1.14,3.33,45,,PGC42681,,
NGC4626,190.606443,-7.043462,14.00,0.98,3.33,40,,PGC42680,,
NGC4630,190.629775,3.960358,13.40,1.05,1.85,175,,PGC42688,,
NGC4632,190.633286,-0.082520,12.50,1.66,2.38,55,,PGC42689,,
IC3686,190.649984,10.565294,15.60,0.49,2.50,170,,PGC42698,,
NGC4633,190.655720,14.357208,14.70,1.86,2.30,30,,PGC42699,,
NGC4635,190.663498,19.945286,12.99,0.72,1.22,15,,PGC42704,,
NGC4634,190.670775,14.295875,13.60,1.83,4.54,155,,PGC42707,,
NGC4644,190.677709,55.145536,14.80,0.95,2.94,50,,PGC42708,,
NGC4638,190.697600,11.442492,11.23,1.33,1.43,115,,PGC42728,,
IC3690,190.705137,10.357458,15.30,0.46,1.78,5,,PGC42732,,
NGC4636,190.707639,2.687764,11.84,7.76,1.32,150,,PGC42734,,
NGC4646,190.717273,54.855975,13.80,0.80,1.85,20,,PGC42740,,
NGC4639,190.718244,13.257418,12.72,1.31,1.39,155,,PGC42741,,
IC3692,190.724987,20.989751,14.80,0.61,1.25,90,,PGC42743,,
NGC4637,190.725414,11.438246,16.00,0.33,1.61,105,,PGC42744,,
NGC4640,190.740704,12.286960,15.20,0.77,1.92,65,,PGC42753,,
IC3697,190.745233,39.845666,17.00,0.32,1.32,35,,PGC42756,,
IC3694,190.780333,11.211977,15.30,0.32,1.35,40,,PGC42766,,
NGC4641,190.781904,12.051108,14.90,0.43,1.19,140,,PGC42769,,
IC3698,190.822092,11.211512,15.40,0.22,1.19,60,,PGC42790,,
NGC4642,190.824096,-0.644247,13.80,1.14,2.95,35,,PGC42791,,
NGC4652,190.832313,58.964865,14.20,0.79,3.33,40,,PGC42802,,
NGC4643,190.833932,1.978254,11.90,1.89,1.43,130,,PGC42797,,
IC3702,190.868167,10.873843,15.50,0.25,1.29,50,,PGC42810,,
NGC4647,190.885592,11.582469,12.50,2.82,1.21,125,,PGC42816,,
NGC4655,190.902070,41.018539,15.30,0.58,1.11,10,,PGC42823,,
NGC4649,190.916533,11.552693,10.30,7.94,1.20,104,,PGC42831,,M60
NGC4651,190.927657,16.393334,10.92,2.11,1.47,85,,PGC42833,,
IC3704,190.939906,10.769942,14.70,0.76,3.13,45,,PGC42836,,
NGC4622,190.656782,-40.744211,12.44,1.17,1.19,0,,PGC42701,,
NGC4653,190.962169,-0.561271,12.60,0.95,1.32,25,,PGC42847,,
NGC4654,190.985992,13.126350,11.80,4.90,1.82,122,,PGC42857,,
NGC4656,190.990370,32.170374,10.52,1.47,2.78,40,,PGC42863,,
IC3713,191.013194,41.168912,15.50,0.47,1.52,135,,PGC42867,,
IC3709,191.016795,9.063306,15.30,0.36,1.22,5,,PGC42869,,
NGC4657,191.046529,32.206032,13.57,1.20,1.75,60,,,,
IC3710,191.040489,12.114181,16.50,0.77,,,,PGC42881,,
NGC4645,191.041687,-41.749971,11.68,1.45,1.52,60,,PGC42879,,
IC3717,191.095625,39.522433,16.00,0.60,3.57,155,,PGC42900,,
IC3714,191.096237,10.188864,15.60,0.35,2.01,150,,PGC42899,,
NGC4662,191.109144,37.121211,14.10,1.12,1.25,70,,PGC42904,,
NGC4659,191.122451,13.498567,13.30,1.22,1.39,170,,PGC42913,,
IC3723,191.127366,40.736907,15.50,0.32,2.18,105,,PGC42914,,
NGC4660,191.133256,11.190483,12.10,1.33,1.67,100,,PGC42917,,
NGC4658,191.157442,-10.083119,13.10,0.13,1.82,2,,PGC42929,,
IC3726,191.177229,40.678878,15.60,0.95,4.16,115,,PGC42938,,
IC3718,191.191633,12.351453,14.70,0.87,2.94,75,,PGC42944,,
NGC4669,191.194887,54.875730,15.10,1.23,3.33,175,,PGC42942,,
NGC4663,191.196079,-10.197882,14.00,0.78,1.32,175,,PGC42946,,
IC3720,191.193841,12.066893,16.00,1.00,1.36,176,,PGC42949,,
NGC4650,191.081612,-40.731751,11.91,1.54,1.22,120,,PGC42891,,
IC3729,191.221320,39.351193,16.00,0.34,1.31,53,,PGC42958,,
IC3724,191.223990,10.282378,15.60,0.18,1.22,130,,PGC42960,,
IC3727,191.273602,10.900869,15.60,0.67,1.15,140,,PGC42969,,
NGC4665,191.275006,3.055761,10.50,2.20,1.28,170,,PGC42970,,
IC3730,191.277332,21.169578,15.30,0.37,1.16,0,,PGC42971,,
NGC4666,191.286150,-0.461911,11.70,4.57,2.95,22,,PGC42975,,
IC813,191.299334,23.036100,14.40,0.68,1.32,20,,PGC42981,,
NGC4661,191.312231,-40.824239,14.58,0.82,2.38,115,,PGC42983,,
NGC4670,191.321458,27.125489,12.90,0.71,1.32,85,,PGC42987,,
IC3736,191.329238,21.535842,15.70,0.28,1.47,5,,PGC42986,,
IC3735,191.335088,13.692667,15.10,0.50,1.28,140,,PGC42991,,
IC3740,191.377596,20.816106,15.60,0.33,1.67,15,,PGC42995,,
IC3742,191.380143,13.329054,14.60,1.20,1.95,45,,PGC43001,PGC1428425,
IC3746,191.382958,37.823548,15.60,0.23,1.22,40,,PGC43000,,
NGC4675,191.383000,54.737500,15.40,0.85,3.13,85,,PGC42998,,
NGC4668,191.383088,-0.533989,13.50,0.91,2.08,0,,PGC3110155,PGC42999,
NGC4673,191.394457,27.060833,13.70,0.67,1.16,170,,PGC43008,,
IC3745,191.436932,19.177247,15.00,0.46,1.35,45,,PGC43009,,
IC3751,191.437960,37.823057,16.00,0.20,1.22,100,,PGC3088212,,
NGC4671,191.448487,-7.069750,14.50,0.98,1.19,135,,PGC43029,,
IC3758,191.498614,40.774849,15.50,0.38,1.14,115,,PGC43046,,
NGC4674,191.514467,-8.655461,15.00,1.08,2.78,115,,PGC43050,,
IC3756,191.542070,11.914603,15.00,0.73,1.47,114,,PGC1400776,,
NGC4676,191.542417,30.731583,14.10,1.12,1.62,171,The Mice,,,
NGC4672,191.565520,-41.705946,14.25,1.03,1.73,50,,PGC43073,,
IC3754,191.564745,8.348461,14.90,0.82,2.27,130,,PGC43074,,
IC815,191.594476,11.876620,15.50,0.45,1.28,150,,PGC43086,,
NGC4686,191.666199,54.534247,13.70,1.76,3.33,0,,PGC43101,,
IC818,191.685653,29.735267,15.10,0.66,3.34,45,,PGC43113,,
IC816,191.693074,9.850559,15.10,0.58,1.85,40,,PGC43111,,
NGC4680,191.728121,-11.637039,13.00,0.93,1.35,40,,PGC43118,,
IC3772,191.733721,36.530847,15.70,0.37,1.43,50,,PGC43123,,
IC817,191.736664,9.857097,15.40,0.42,1.35,125,,PGC43126,,
NGC4677,191.738036,-41.582540,12.67,1.23,2.17,165,,PGC43127,,
IC3774,191.754585,36.288351,16.00,0.43,1.78,100,,PGC43117,,
IC3778,191.758089,40.596428,15.60,0.29,1.06,40,,PGC43131,,
NGC4693,191.788054,71.176139,14.00,1.11,3.33,30,,PGC43141,,
NGC4685,191.797637,19.464341,13.80,0.91,2.00,155,,PGC43143,,
IC3773,191.813737,10.203596,14.30,0.71,2.09,20,,PGC43146,,
NGC4682,191.814597,-10.063370,12.90,1.47,1.92,85,,PGC43147,,
NGC4684,191.822957,-2.727406,12.40,1.95,2.63,20,,PGC43149,,
IC3779,191.834504,12.166550,15.50,0.34,1.61,120,,PGC43154,,
NGC4687,191.849020,35.352074,14.30,0.63,1.25,95,,PGC43157,,
IC821,191.858995,29.787793,14.50,0.53,1.47,75,,PGC43161,,
IC3783,191.865943,40.566554,15.60,0.37,1.22,110,,PGC43163,,
NGC4681,191.869998,-43.334877,13.46,0.74,1.16,155,,PGC43166,,
NGC4679,191.876079,-39.570915,11.90,1.44,2.38,5,,PGC43170,,
NGC4695,191.883776,54.374820,14.50,0.64,2.18,80,,PGC43173,,
NGC4683,191.926426,-41.528245,13.80,1.16,1.92,130,,PGC43182,,
IC822,191.939850,30.077198,16.00,0.45,1.16,115,,PGC43196,,
NGC4689,191.939820,13.762816,12.80,2.06,1.28,155,,PGC43186,,
NGC4688,191.943842,4.336046,14.50,0.63,2.27,45,,PGC43189,,
NGC4692,191.980465,27.222346,14.00,0.72,1.19,75,,PGC43200,,
NGC4690,191.981345,-1.656057,14.00,0.77,1.35,150,,PGC43202,,
IC3795,192.021330,40.719652,15.70,0.49,3.12,20,,PGC43221,,
IC3788,192.030256,18.868860,17.00,0.31,1.19,15,,PGC43220,,
NGC4691,192.056667,-3.332694,11.08,1.76,1.72,75,,PGC43238,,
NGC4694,192.062879,10.983625,13.36,1.49,2.08,145,,PGC43241,,
NGC4707,192.090277,51.164946,15.20,1.12,1.07,25,,PGC43255,,
NGC4698,192.095451,8.487408,12.27,3.11,1.51,170,,PGC43254,,
NGC4697,192.149576,-5.800690,10.97,6.17,1.55,86,,PGC43276,,
IC3804,192.191093,35.332745,14.40,0.96,2.00,40,,PGC43286,,
NGC4711,192.191093,35.332745,14.40,0.96,2.00,40,,PGC43286,,
NGC4704,192.193445,41.921253,14.80,0.63,1.32,75,,PGC43288,,
NGC4696,192.205302,-41.310918,11.21,4.57,1.62,88,,PGC43296,,
IC3806,192.230904,14.907664,14.60,1.05,2.78,0,,PGC43303,,
IC3808,192.244804,40.595911,17.19,0.57,1.92,160,,PGC43312,,
IC3799,192.248567,-14.399236,14.10,1.59,6.25,30,,PGC43313,,
NGC4702,192.256208,27.178906,15.00,0.26,1.86,175,,PGC43317,,
NGC4699,192.259108,-8.664303,10.80,2.64,1.25,45,,PGC43321,,
NGC4700,192.283950,-11.409856,14.32,1.43,3.33,50,,PGC43330,PGC3796643,
NGC4701,192.298305,3.388719,13.10,0.86,1.28,60,,PGC43331,,
NGC4703,192.329004,-9.108477,14.50,2.06,5.00,155,,PGC43342,,
NGC4705,192.353961,-5.195869,13.10,1.65,3.12,125,,PGC43350,,
IC3816,192.368640,37.230298,15.00,0.38,1.19,30,,PGC43369,,
NGC4712,192.392550,25.469922,13.50,1.22,2.27,160,,PGC43368,,
NGC4710,192.412325,15.165489,11.60,4.90,3.89,27,,PGC43375,,
NGC4708,192.422850,-11.093081,14.00,0.90,1.79,50,,PGC43382,,
IC824,192.424167,-4.579722,15.00,0.50,1.99,,,,,
IC3812,192.474187,-6.717423,15.00,0.89,3.57,5,,PGC43409,,
NGC4706,192.475724,-41.279355,13.50,1.07,1.85,30,,PGC43411,,
NGC4713,192.491168,5.311370,12.30,1.11,1.32,90,,PGC43413,,
NGC4715,192.491119,27.822415,15.40,0.77,1.35,20,,PGC43399,,
IC3813,192.509703,-25.920708,13.72,0.95,1.28,5,,PGC43418,,
NGC4709,192.516265,-41.381971,11.32,1.87,1.19,115,,PGC43423,,
NGC4750,192.530464,72.874626,11.80,1.52,1.11,130,,PGC43426,,
NGC4732,192.529578,52.850142,15.20,0.67,1.62,0,,PGC43430,,
NGC4719,192.536335,33.159153,14.20,0.71,1.92,165,,PGC43428,,
NGC4714,192.580201,-13.324372,14.00,1.05,1.52,155,,PGC43442,,
NGC4721,192.582961,27.323988,15.20,0.67,3.13,110,,PGC43437,,
IC3822,192.594671,-14.321956,15.00,0.98,5.00,35,,PGC43443,,
NGC4725,192.610715,25.500759,12.44,9.77,1.45,32,,PGC43451,,
NGC4728,192.616943,27.434888,15.60,0.50,1.19,115,,PGC43455,,
NGC4718,192.636035,-5.282027,13.90,0.87,2.17,100,,PGC43463,,
NGC4716,192.637993,-9.451168,15.00,1.05,1.78,115,,PGC43464,,
NGC4717,192.643268,-9.463061,15.00,1.19,2.94,10,,PGC43467,,
IC3826,192.666232,-9.031034,15.00,0.72,2.08,0,,PGC43473,,
NGC4720,192.678254,-4.155786,14.20,0.72,2.00,115,,PGC43478,,
IC3827,192.717208,-14.491903,14.00,0.51,1.11,10,,PGC43487,,
NGC4736,192.721141,41.120250,8.24,11.48,1.15,105,,PGC43495,,M94
NGC4737,192.720568,34.156830,15.30,0.59,1.43,65,,PGC43490,,
NGC4724,192.725417,-14.330556,15.00,0.95,1.76,95,,PGC43494,,
NGC4740,192.738481,-14.332838,18.21,1.32,1.52,110,,PGC43499,,
NGC4727,192.738481,-14.332838,18.21,1.32,1.52,110,,PGC43499,,
NGC4741,192.747982,47.671517,14.50,0.70,1.47,175,,PGC43504,,
NGC4731,192.754562,-6.393050,12.00,6.46,2.82,90,,PGC43507,,
NGC4735,192.757184,28.927974,14.42,0.54,1.61,110,,PGC43509,,
NGC4723,192.762140,-13.236610,14.60,1.10,1.86,43,,PGC43510,,
NGC4733,192.778215,10.912080,13.20,1.15,1.06,95,,PGC43516,,
NGC4738,192.787083,28.788020,13.81,1.39,5.55,35,,PGC43517,,
NGC4749,192.800004,71.636786,14.20,1.43,4.55,155,,PGC43527,,
NGC4734,192.803727,4.859019,14.30,0.56,1.11,50,,PGC43525,,
IC830,192.818828,53.696301,14.30,0.73,1.79,170,,PGC43533,,
IC3831,192.827363,-14.573567,14.00,1.07,1.72,145,,PGC43536,,
IC826,192.833046,31.059632,14.90,0.49,1.04,95,,PGC43538,,
NGC4745,192.859004,27.421257,15.40,0.40,1.09,5,,PGC43539,,
IC3833,192.884823,-13.329993,13.00,1.33,2.50,35,,PGC43560,,
NGC4726,192.691905,-14.268531,15.68,0.68,4.18,75,,PGC926789,,
IC3834,192.884890,-14.221117,17.00,0.77,1.72,70,,PGC43559,,
NGC4722,192.884823,-13.329993,13.00,1.33,2.50,35,,PGC43560,,
IC3829,192.885537,-27.783063,13.90,0.80,1.61,110,,PGC43558,,
NGC4739,192.904556,-8.410160,14.00,0.94,1.09,175,,PGC43571,,
NGC4747,192.939968,25.775034,13.20,1.57,3.57,30,,PGC43586,,
NGC4729,192.942884,-41.132247,13.49,1.03,1.02,20,,PGC43591,,
NGC4742,192.950174,-10.454777,12.00,1.33,1.61,75,,PGC43594,,
IC827,192.979402,16.282804,15.00,0.92,2.64,100,,PGC43607,,
NGC4746,192.980712,12.083028,13.30,1.51,4.16,120,,PGC43601,,
