id,alpha,delta,magnitude,Spectral type,HD,HIP,Common name
11 Lib,222.754467,-2.299150,4.94,K0III/IV,HD130952,HIP72631,
37 ksi Boo,222.847416,19.100472,4.59,G7Ve+K5Ve,HD131156,HIP72659,
omi Lup,222.909595,-43.575360,4.31,B5IV,HD130807,HIP72683,
12 Lib,223.583869,-24.642204,5.27,K2/3III,HD131430,HIP72929,
13 ksi01 Lib,223.595309,-11.898350,5.79,K0III,HD131530,HIP72934,
zet Cir,223.677442,-65.991105,6.09,B2/3Vn,HD131058,HIP72965,
c Lup,224.071880,-52.809551,5.39,A1IV/V,HD131562,HIP73095,
tet Cir,224.183281,-62.781016,5.11,B2III,HD131492,HIP73129,
15 ksi02 Lib,224.192146,-11.409700,5.45,K4III,HD131918,HIP73133,
8 UMi,224.201468,74.900923,6.83,K0,HD133086,HIP73136,
16 Lib,224.295829,-4.346459,4.49,F2V,HD132052,HIP73165,
1 M Ser,224.388547,-0.167612,5.51,K1III,HD132132,HIP73193,
RR UMi,224.395864,65.932460,4.54,M4.5III,HD132813,HIP73199,
R Aps,224.470765,-76.662655,5.36,K4III:,HD131109,HIP73223,
17 Lib,224.555887,-11.154765,6.60,K2III,HD132230,HIP73249,
bet Lup,224.633022,-43.133964,2.68,B2III,HD132058,HIP73273,
59 Hya,224.663561,-27.657314,5.65,A5/7IV,HD132219,HIP73284,
18 Lib,224.723256,-11.144017,5.86,K3-IIICN2,HD132345,HIP73310,
kap Cen,224.790354,-42.104196,3.11,B2IV,HD132200,HIP73334,
40 Boo,224.903946,39.265332,5.63,F1III-IV,HD132772,HIP73369,
9 UMi,225.112279,71.765458,6.66,G0,HD133621,HIP73440,
19 del Lib,225.243118,-8.518947,4.93,A0V,HD132742,HIP73473,Zuben Elakribi
2 Ser,225.453838,-0.140298,5.71,M0.5IIb,HD132933,HIP73536,
pi.01 Oct,225.461659,-83.227647,5.64,G8/K0III,HD130650,HIP73540,
42 bet Boo,225.486510,40.390569,3.52,G8IIIaFe-0.5,HD133208,HIP73555,Nekkar
60 Hya,225.526805,-28.060613,5.82,A4IV,HD132851,HIP73566,
41 ome Boo,225.527120,25.008139,4.81,K4III,HD133124,HIP73568,
110 Vir,225.725157,2.091304,4.40,K0+IIIbFe-0.5,HD133165,HIP73620,
44 i Boo,225.947065,47.654062,4.76,G0Vn,HD133640,HIP73695,
20 sig Lib,226.017562,-25.281970,3.21,M2.5III,HD133216,HIP73714,Brachium
43 psi Boo,226.111429,26.947648,4.55,K2III,HD133582,HIP73745,
pi.02 Oct,226.195514,-83.038311,5.64,G8Ib,HD131246,HIP73771,
eta Cir,226.200782,-64.031351,5.17,G8III,HD132905,HIP73776,
pi. Lup,226.279530,-47.051262,4.58,B5V,HD133242,HIP73807,
pi. Lup,226.280154,-47.051089,4.62,B5IV,HD133243,,
47 k Boo,226.357644,48.150970,5.58,A0Vs,HD133962,HIP73841,
21 nu. Lib,226.656652,-16.256819,5.20,K5-III,HD133774,HIP73945,Zuben Hakrabi
22 Lib,226.704419,-16.484361,6.40,A1V,HD133800,HIP73953,
45 c Boo,226.825275,24.869194,4.93,F5V,HD134083,HIP73996,
46 b Boo,227.099096,26.301154,5.67,K2III,HD134320,HIP74087,
lam Lup,227.210887,-45.279861,4.05,B3V,HD133955,HIP74117,
ome Oct,227.786634,-84.787786,5.87,B9.5V,HD131596,HIP74296,
kap01 Lup,227.983639,-48.737825,3.70,B9.5Vne,HD134481,HIP74376,
kap02 Lup,227.990314,-48.743686,5.50,A3/5V,HD134482,HIP74380,
24 iot Lib,228.055376,-19.791711,4.54,B9IVpSi,HD134759,HIP74392,
zet Lup,228.071233,-52.099248,3.41,G8III,HD134505,HIP74395,
e Lup,228.206612,-44.500413,4.81,B3IV/V,HD134687,HIP74449,
25 Lib,228.329973,-19.647576,6.07,A2V,HD134967,HIP74493,
23 Lib,228.369446,-25.309348,6.46,G6IV-V,HD134987,HIP74500,
48 chi Boo,228.621495,29.164296,5.27,A2V,HD135502,HIP74596,
26 Lib,228.640658,-17.768571,6.17,B9III,HD135230,HIP74600,
1 i Lup,228.655499,-31.519124,4.92,F3III,HD135153,HIP74604,
3 Ser,228.797320,4.939355,5.34,K0III,HD135482,HIP74649,
49 del Boo,228.875678,33.314831,3.49,G8IIIFe-1,HD135722,HIP74666,Printseps
4 Ser,228.954490,0.372138,5.62,A5V,HD135559,HIP74689,
del Cir,229.237066,-60.957256,5.09,O8V,HD135240,HIP74778,
27 bet Lib,229.251724,-9.382914,2.62,B8Vn,HD135742,HIP74785,Zuben Elschemali
11 UMi,229.274539,71.823902,5.01,K4III,HD136726,HIP74793,Pherkad Minor
bet Cir,229.378542,-58.801205,4.06,A3Va,HD135379,HIP74824,
eps Cir,229.412054,-63.610468,4.85,K2III,HD135291,HIP74837,
2 f Lup,229.457657,-30.148666,4.33,K0IIIaCH-1,HD135758,HIP74857,
mu. Lup,229.633429,-47.875277,4.27,B8Ve,HD135734,HIP74911,
gam TrA,229.727422,-68.679547,2.89,A1V,HD135382,HIP74946,
5 Ser,229.828323,1.765407,5.06,F8IV,HD136202,HIP74975,
1 omi CrB,230.035661,29.616207,5.51,K0III,HD136512,HIP75049,
13 gam UMi,230.182150,71.834017,3.00,A2III,HD137422,HIP75097,Pherkad
28 Lib,230.223658,-18.158661,6.17,G8II/III,HD136366,HIP75110,
29 omi Lib,230.255789,-15.548352,6.14,F2V,HD136407,HIP75118,
6 Ser,230.258318,0.715336,5.39,K1III,HD136514,HIP75119,
del Lup,230.342974,-40.647530,3.19,B1.5IV,HD136298,HIP75141,
14 UMi,230.376247,73.476688,7.38,F5,HD137686,HIP75152,
nu.02 Lup,230.450625,-48.317631,5.65,G3/5V,HD136352,HIP75181,
phi01 Lup,230.451540,-36.261373,3.55,K4III,HD136422,HIP75177,
50 Boo,230.452396,32.933694,5.37,B9Vn,HD136849,HIP75178,
nu.01 Lup,230.534461,-47.927793,5.00,F6III-IV,HD136351,HIP75206,
7 Ser,230.596807,12.567526,6.28,A0V,HD136831,HIP75230,
eps Lup,230.670284,-44.689615,3.37,B3IV+B3:V,HD136504,HIP75264,
30 Lib,230.757420,-15.134038,6.48,K4III,HD136801,HIP75294,
phi02 Lup,230.788959,-36.858487,4.54,B4V,HD136664,HIP75304,
2 eta CrB,230.800962,30.288212,5.58,G2V,HD137107,HIP75312,
2 eta CrB,230.801127,30.288460,5.95,G2V,HD137108,,
gam Cir,230.844403,-59.320702,4.96,B3/4V,HD136415,HIP75323,
8 Ser,230.932124,-1.022386,6.11,A5II/III,HD137006,HIP75342,
31 eps Lib,231.049516,-10.322279,4.92,F4V,HD137052,HIP75379,
51 mu.01 Boo,231.122631,37.377156,4.31,F0IV,HD137391,HIP75411,Alkalurops
51 mu.02 Boo,231.128613,37.347299,6.50,G0V,HD137392,HIP75415,
ups Lup,231.187536,-39.710265,5.37,ApSi,HD136933,HIP75439,
12 iot Dra,231.232394,58.966065,3.29,K2III,HD137759,HIP75458,Edasich
k Lup,231.334221,-38.733610,4.60,A0V,HD137058,HIP75501,
9 tau01 Ser,231.447489,15.428036,5.17,M1III,HD137471,HIP75530,
3 bet CrB,231.957215,29.105701,3.68,F2VpSrCrEuSi,HD137909,HIP75695,Nusakan
32 Lib,232.064201,-16.716485,5.63,K4.5III,HD137744,HIP75730,
10 Ser,232.159321,1.842080,5.17,A6III,HD137898,HIP75761,
pi.01 UMi A,232.296600,80.448602,6.58,G1.5V(n),HD139777,HIP75809,
pi.01 UMi B,232.348299,80.450268,7.14,G9V,HD139813,HIP75829,
33 Lib,232.394760,-17.440938,6.69,F0VspEuGdSr,HD137949,HIP75848,
34 Lib,232.668339,-16.609462,5.81,K0III,HD138137,HIP75944,
52 nu.01 Boo,232.732332,40.833048,5.03,K4.5IIIbBa0.5,HD138481,HIP75973,
15 tet UMi,232.853807,77.349360,4.98,K5-IIICN0.5,HD139669,HIP76008,
kap01 Aps,232.878426,-73.389592,5.49,B2Vnpe,HD137387,HIP76013,
53 nu.02 Boo,232.945763,40.899335,4.98,A2V,HD138629,HIP76041,
12 tau02 Ser,233.040313,16.056169,6.22,B9V,HD138527,HIP76069,
35 zet Lib,233.230089,-16.852845,5.50,B3V,HD138485,HIP76126,
4 tet CrB,233.232426,31.359132,4.13,B6Vnne,HD138749,HIP76127,
11 A01 Ser,233.241406,-1.186402,5.50,K0III,HD138562,HIP76133,
37 Lib,233.544594,-10.064533,4.62,K1III-IV,HD138716,HIP76219,
36 Lib,233.655492,-28.047020,5.14,K2/3III,HD138688,HIP76259,
5 alf CrB,233.671950,26.714693,2.24,A1IV,HD139006,HIP76267,Alphekka
13 del Ser,233.700605,10.538856,4.14,F0IV,HD138918,,
13 del Ser,233.700730,10.537753,5.13,F0IV,HD138917,HIP76276,
gam Lup,233.785201,-41.166757,2.77,B2IV,HD138690,HIP76297,
6 mu. CrB,233.812161,39.010067,5.11,M1.5IIIb,HD139153,HIP76307,
38 gam Lib,233.881578,-14.789536,3.91,G8.5III,HD138905,HIP76333,Zuben Elakrab
15 tau03 Ser,233.888457,17.655554,6.11,G8III:,HD139074,HIP76337,
d Lup,233.971867,-44.958388,4.54,B3V,HD138769,HIP76371,
17 tau04 Ser,234.117428,15.101456,6.25,M5IIIa,HD139216,HIP76423,
18 tau05 Ser,234.121832,16.119084,5.93,F3V,HD139225,HIP76424,
16 Ser,234.123225,10.010147,5.25,K0III:CN1Ba0.7Sr2,HD139195,HIP76425,
14 Ser,234.140455,-0.561531,6.50,K0III+A7/8,HD139137,HIP76427,
eps TrA,234.180095,-66.317038,4.10,K1/2III,HD138538,HIP76440,
39 ups Lib,234.256037,-28.135110,3.59,K3.5III,HD139063,HIP76470,
54 phi Boo,234.456659,40.353435,5.25,G7III-IVFe-2,HD139641,HIP76534,Ceginus
ome Lup,234.513362,-42.567336,4.33,K3III,HD139127,HIP76552,
40 tau Lib,234.664040,-29.777749,3.64,B2.5V,HD139365,HIP76600,
41 Lib,234.727322,-19.301891,5.36,G8III/IV,HD139446,HIP76628,
7 zet02 CrB,234.844470,36.635811,4.98,B7V,HD139892,HIP76669,
7 zet01 CrB,234.842684,36.636830,5.93,B9V,HD139891,HIP76669,
pi.02 UMi,234.910821,79.983216,6.89,F2,HD141652,HIP76695,
3 psi01 Lup,234.941580,-34.411921,4.66,G8/K0III,HD139521,HIP76705,
42 Lib,235.070406,-23.818084,4.96,K3-IIICN2,HD139663,HIP76742,
kap02 Aps,235.088980,-73.446667,5.65,B7III/IV,HD138800,HIP76750,
19 tau06 Ser,235.246252,16.024589,5.99,G8III,HD140027,HIP76810,
g Lup,235.297403,-44.661206,4.63,F3/5V,HD139664,HIP76829,
21 iot Ser,235.387728,19.670399,4.50,A1V,HD140159,HIP76852,
20 chi Ser,235.447561,12.847526,5.33,A2VpMnEu(Sr),HD140160,HIP76866,
22 tau07 Ser,235.477986,18.464037,5.79,A8Vam,HD140232,HIP76878,
43 kap Lib,235.486635,-19.678793,4.72,M0-IIIb,HD139997,HIP76880,
h Lup,235.659652,-37.424939,5.24,G8/K0III,HD139980,HIP76939,
4 psi02 Lup,235.670925,-34.710406,4.72,B5V,HD140008,HIP76945,
8 gam CrB,235.685690,26.295635,3.84,A0V,HD140436,HIP76952,
rho Oct,235.820535,-84.465275,5.57,A1/2V,HD137333,HIP76996,
9 pi. CrB,235.997081,32.515806,5.58,G9III:,HD140716,HIP77048,
23 psi Ser,236.007577,2.515167,5.88,G2.5V,HD140538,HIP77052,
16 zet UMi,236.014662,77.794494,4.27,A3Vn,HD142105,HIP77055,
44 eta Lib,236.018331,-15.672834,5.41,A5/7IV,HD140417,HIP77060,
24 alf Ser,236.066976,6.425629,2.63,K2IIIbCN1,HD140573,HIP77070,Unukalhai
26 tau08 Ser,236.175551,17.264222,6.14,A0V,HD140729,HIP77111,
25 A02 Ser,236.523486,-1.804190,5.39,B8IV/V,HD140873,HIP77227,
28 bet Ser,236.546897,15.421819,3.67,A2IV,HD141003,HIP77233,
27 lam Ser,236.610893,7.353069,4.42,G0-V,HD141004,HIP77257,
31 ups Ser,236.822137,14.115415,5.71,A3V,HD141187,HIP77336,
R CrB,237.143398,28.156749,5.71,G0Iep,HD141527,HIP77442,
35 kap Ser,237.184903,18.141565,4.09,M0.5IIIab,HD141477,HIP77450,
30 Ser,237.236654,-3.818511,5.52,A5IV-V,HD141378,HIP77464,
10 del CrB,237.398529,26.068393,4.63,G5III-IVFe-1,HD141714,HIP77512,
32 mu. Ser,237.405029,-3.430204,3.53,B9.5III,HD141513,HIP77516,
34 ome Ser,237.573112,2.196509,5.22,K0IV,HD141680,HIP77578,
R Ser,237.673893,15.133636,7.10,M5-8e,HD141850,,
37 eps Ser,237.704026,4.477731,3.69,kA2hA5mA7V,HD141795,HIP77622,
5 chi Lup,237.739772,-33.627147,3.95,B9III,HD141556,HIP77634,
1 b Sco,237.744769,-25.751294,4.63,B1.5Vn,HD141637,HIP77635,
11 kap CrB,237.808047,35.657382,4.82,K1IVa,HD142091,HIP77655,
36 b Ser,237.814967,-3.090506,5.10,A2IV-Vn,HD141851,HIP77660,
38 rho Ser,237.816289,20.977920,4.78,K4.5III,HD141992,HIP77661,
1 chi Her,238.168921,42.451517,4.62,F8VFe-2Hdel-1,HD142373,HIP77760,
39 Ser,238.300405,13.196626,6.12,G1VFe-1,HD142267,HIP77801,
45 lam Lib,238.333558,-20.167075,5.03,B3V,HD142096,HIP77811,
2 A Sco,238.402995,-25.327141,4.59,B2.5Vn,HD142114,HIP77840,
46 tet Lib,238.456408,-16.729297,4.16,G9IIIb,HD142198,HIP77853,
2 Her,238.657707,43.138564,5.38,M3-III,HD142780,HIP77907,
3 Sco,238.664707,-25.243739,5.87,B8III/IV,HD142301,HIP77909,
40 Ser,238.667811,8.580338,6.27,A7Vn,HD142500,HIP77910,
47 Lib,238.751506,-19.382932,5.96,B2/3V,HD142378,HIP77939,
bet TrA,238.785675,-63.430727,2.85,F1V,HD141891,HIP77952,
kap TrA,238.873332,-68.603001,5.10,G5Ib-II,HD141767,HIP77982,
4 Sco,238.875307,-26.265983,5.62,A3V,HD142445,HIP77984,
4 Her,238.877466,42.566192,5.75,B9pe,HD142926,HIP77986,
12 lam CrB,238.948280,37.946957,5.42,F2IV-V,HD142908,HIP78012,
41 gam Ser,239.113261,15.661617,3.84,F6V,HD142860,HIP78072,
5 rho Sco,239.221151,-29.214073,3.86,B2IV-V,HD142669,HIP78104,
ksi01 Lup,239.222874,-33.966115,5.08,A3V,HD142629,HIP78105,
ksi02 Lup,239.225470,-33.964261,5.55,B9V,HD142630,HIP78106,
phi Ser,239.310712,14.414481,5.53,K1IV,HD142980,HIP78132,
13 eps CrB,239.396881,26.877880,4.13,K2IIIab,HD143107,HIP78159,
48 Lib,239.547368,-14.279356,4.87,B5IIIp_sh,HD142983,HIP78207,
6 pi. Sco,239.712972,-26.114108,2.91,B1V+B2:V:,HD143018,HIP78265,
T CrB,239.875676,25.920170,10.25,M3IIIe_sh,HD143454,,
eta Lup,240.030533,-38.396709,3.41,B2.5IV,HD143118,HIP78384,
49 Lib,240.081815,-16.533412,5.47,F8V,HD143333,HIP78400,
7 del Sco,240.083355,-22.621706,2.32,B0.3IV,HD143275,HIP78401,Dschubba
50 Lib,240.198468,-8.411358,5.53,A0V,HD143459,HIP78436,
15 rho CrB,240.261085,33.303511,5.41,G0+VaFe-1,HD143761,HIP78459,
5 r Her,240.309632,17.818379,5.12,G8IIIb,HD143666,HIP78481,
14 iot CrB,240.360687,29.851061,4.97,A0IIIspHgMnEu,HD143807,HIP78493,
13 tet Dra,240.472276,58.565252,4.00,F9V,HD144284,HIP78527,
44 pi. Ser,240.573715,22.804453,4.82,A3V,HD143894,HIP78554,
X Her,240.663221,47.240351,6.58,M6III,HD144205,HIP78574,
6 ups Her,240.699574,46.036704,4.71,B9III,HD144206,HIP78592,
eta Nor,240.803740,-49.229696,4.64,G8III,HD143546,HIP78639,
18 UMi,240.880622,76.793941,5.73,A3V,HD145622,HIP78661,
iot01 Nor,240.883706,-57.775073,4.67,A5IVs,HD143474,HIP78662,
43 Ser,240.940379,4.986832,6.07,G9III,HD144046,HIP78685,
ksi Sco,241.092314,-11.373207,5.16,F4(V),HD144070,,Graffias
ksi Sco,241.092203,-11.372965,4.87,F5V,HD144069,HIP78727,Graffias
8 bet01 Sco,241.359300,-19.805453,2.62,B1V,HD144217,HIP78820,Graffias
8 bet02 Sco,241.360703,-19.801902,4.89,B2V,HD144218,HIP78821,
del Nor,241.622715,-45.173280,4.71,kA3hA7mF0III:,HD144197,HIP78914,
tet Lup,241.648100,-36.802271,4.20,B2.5Vn,HD144294,HIP78918,
9 ome01 Sco,241.701779,-20.669192,3.97,B1V,HD144470,HIP78933,
10 ome02 Sco,241.851363,-20.868764,4.33,G4II-III,HD144608,HIP78990,
11 Sco,241.901731,-12.745407,5.77,B9V,HD144708,HIP79005,
45 Ser,241.906413,9.891741,5.63,A7V,HD144874,HIP79007,
7 kap Her,242.018857,17.046978,4.99,G7III,HD145001,HIP79043,Marsik
7 kap Her,242.020606,17.054360,6.23,K0IV,HD145000,HIP79045,
46 Ser,242.023808,10.080441,6.73,A3,HD144937,HIP79047,
47 Ser,242.116982,8.534311,5.73,M4IIIa,HD145002,HIP79072,
11 phi Her,242.192401,44.934906,4.27,B9VspHgMn,HD145389,HIP79101,
8 Her,242.194296,17.205637,6.13,A0Vnn,HD145122,HIP79102,
16 tau CrB,242.242954,36.490871,4.73,K1-III-IV,HD145328,HIP79119,
iot02 Nor,242.327282,-57.934319,5.57,B9.5V,HD144480,HIP79153,
14 Her,242.601315,43.817641,6.61,K0V,HD145675,HIP79248,
19 UMi,242.706352,75.877562,5.47,B8V,HD146926,HIP79280,
q Her,242.869743,16.665691,6.08,A0V,HD145647,HIP79332,
10 Her,242.908481,23.494801,5.70,M4III,HD145713,HIP79349,
14 nu. Sco,242.993867,-19.450227,6.30,B8/9V,HD145501,,
14 nu. Sco,242.998899,-19.460704,4.00,B2V,HD145502,HIP79374,Jabbah
15 psi Sco,242.999971,-10.064142,4.93,A1V,HD145570,HIP79375,
16 Sco,243.030483,-8.547580,5.42,A2IV,HD145607,HIP79387,
12 c01 Sco,243.066830,-28.417309,5.67,B9V,HD145483,HIP79399,
13 c02 Sco,243.075853,-27.926376,4.57,B2V,HD145482,HIP79404,
20 UMi,243.133731,75.210681,6.34,K2IV,HD147142,HIP79420,
9 Her,243.314288,5.021091,5.45,K5III,HD145892,HIP79488,
39 Nor,243.320705,-53.671174,5.94,M0III,HD145384,HIP79490,
49 Ser,243.326885,13.526907,7.32,G9V+G9V,HD145958,HIP79492,
zet Nor,243.344575,-55.540947,5.77,F2IV/V,HD145361,HIP79497,
kap Nor,243.369709,-54.630468,4.94,G8III,HD145397,HIP79509,
17 chi Sco,243.462109,-11.837748,5.24,K3III,HD145897,HIP79540,
1 del Oph,243.586411,-3.694323,2.75,M0.5III,HD146051,HIP79593,Yed Prior
17 sig CrB,243.670223,33.858614,5.55,F6V,HD146361,HIP79607,
17 sig CrB,243.668281,33.857527,6.42,G1V,HD146362,,
13 Her,243.755333,11.490025,7.54,F0,HD146279,HIP79634,
tet Nor,243.813824,-47.372020,5.12,B8V,HD145842,HIP79653,
del TrA,243.859457,-63.685680,3.84,G2Ib-IIa,HD145544,HIP79664,
16 Her,243.869312,18.808088,5.69,K3III,HD146388,HIP79666,
18 Sco,243.905293,-8.369439,5.50,G2Va,HD146233,HIP79672,
18 ups CrB,244.186613,29.150261,5.78,A3V,HD146738,HIP79757,
gam01 Nor,244.253892,-50.068120,5.09,F9Ia,HD146143,HIP79790,
21 eta UMi,244.376126,75.755343,4.95,F5V,HD148048,HIP79822,
d Sco,244.574580,-28.614020,4.78,A1Va,HD146624,HIP79881,
2 eps Oph,244.580376,-4.692513,3.23,G9.5IIIbFe-0.5,HD146791,HIP79882,Yed Posterior
19 Her,244.598545,25.896688,6.69,G8III,HD147025,HIP79889,
lam Nor,244.823528,-42.673973,5.44,A3V,HD146667,HIP79963,
22 tau Her,244.935153,46.313365,3.87,B5IV,HD147394,HIP79992,
gam02 Nor,244.960093,-50.155506,4.02,K0III,HD146686,HIP80000,
del01 Aps,245.086686,-78.695747,4.68,M4III,HD145366,HIP80047,
del02 Aps,245.111907,-78.667496,5.25,K3III,HD145388,HIP80057,
19 omi Sco,245.159086,-24.169319,4.57,A5II,HD147084,HIP80079,
20 sig Sco,245.297149,-25.592792,2.89,B1III+B1:V,HD147165,HIP80112,Alniyat
20 gam Her,245.480060,19.153128,3.76,A9IIIbn,HD147547,HIP80170,
50 sig Ser,245.518118,1.029044,4.82,A9Ib/II,HD147449,HIP80179,
19 ksi CrB,245.524266,30.891996,4.85,G9IIIFe-0.5,HD147677,HIP80181,
20 nu.01 CrB,245.589270,33.799052,5.20,M2III,HD147749,HIP80197,
21 nu.02 CrB,245.621743,33.703479,5.39,K5III,HD147767,HIP80214,
23 Her,245.735413,32.333012,6.40,A4Vn,HD147835,HIP80247,
14 eta Dra,245.997860,61.514210,2.74,G8-IIIab,HD148387,HIP80331,
4 psi Oph,246.025741,-20.037320,4.50,K0-II-III,HD147700,HIP80343,
21 o Her,246.045120,6.948210,5.82,A1III,HD147869,HIP80351,
25 Her,246.350703,37.394052,5.54,A5V,HD148283,HIP80460,
24 ome Her,246.353978,14.033267,4.58,A2VpCrSr,HD148112,HIP80463,Kajam
5 rho Oph,246.395968,-23.446368,6.66,B2V,HD147934,,
5 rho Oph,246.396327,-23.447175,5.05,B1V,HD147933,HIP80473,
U Her,246.447800,18.892462,6.70,M6.5-8+e,HD148206,,
7 chi Oph,246.755982,-18.456250,4.43,B2Vne,HD148184,HIP80569,
eps Nor,246.795984,-47.554784,4.52,B2V,HD147971,HIP80582,
3 ups Oph,246.950780,-8.371729,4.63,kA2hA5VmA5,HD148367,HIP80628,
iot TrA,246.988940,-64.057940,5.29,F0IV,HD147787,HIP80645,
15 A Dra,246.995894,68.768137,4.95,B9.5IV,HD149212,HIP80650,
zet TrA,247.117259,-70.084396,4.90,F9V,HD147584,HIP80686,
30 g Her,247.160619,41.881678,5.01,M6-III,HD148783,HIP80704,
21 alf Sco,247.351915,-26.432003,0.91,M1.5Iab+B2Vn,HD148478,HIP80763,Antares
34 Her,247.525163,48.961086,6.43,A1V,HD149081,HIP80809,
22 i Sco,247.551980,-25.115223,4.79,B3V,HD148605,HIP80815,
27 bet Her,247.554998,21.489611,2.77,G7IIIaFe-0.5,HD148856,HIP80816,Kornephoros
s Her,247.639785,20.479187,5.24,G8.5IIICN-2CH-1Fe-1,HD148897,HIP80843,
10 lam Oph,247.728430,1.983922,3.90,A1IV,HD148857,HIP80883,Marfik
8 phi Oph,247.784862,-16.612731,4.27,G8+IIIa,HD148786,HIP80894,
N Sco,247.845554,-34.704365,4.23,B2III-IV,HD148703,HIP80911,
31 Her,247.877399,33.513671,7.11,A0,HD149141,HIP80927,
9 ome Oph,248.034168,-21.466403,4.45,ApSrEuCr,HD148898,HIP80975,
28 n Her,248.148689,5.521220,5.63,B9.5III,HD149121,HIP81007,
29 h Her,248.151217,11.488041,4.85,K4.5III,HD149161,HIP81008,
gam Aps,248.362844,-78.897148,3.85,G8III,HD147675,HIP81065,
32 Her,248.371350,30.499065,6.87,A8III,HD149420,HIP81066,
mu. Nor,248.520918,-44.045313,4.94,O9.7Iab,HD149038,HIP81122,
35 sig Her,248.525760,42.437009,4.20,B9V,HD149630,HIP81126,
tet TrA,248.936754,-65.495400,5.50,G8/K0III,HD148890,HIP81252,
23 tau Sco,248.970637,-28.216017,2.81,B0.2V,HD149438,HIP81266,Alniyat
16 Dra,249.047585,52.900052,5.52,B9.5V+DA:,HD150100,HIP81290,
17 Dra,249.057172,52.924423,5.39,B9V,HD150117,HIP81292,
17 Dra,249.058583,52.924191,6.41,A1Vnn,HD150118,,
12 Oph,249.089374,-2.324587,5.77,K1V,HD149661,HIP81300,
H Sco,249.093631,-35.255331,4.16,K5III,HD149447,HIP81304,
13 zet Oph,249.289746,-10.567092,2.56,O9.2IVnn,HD149757,HIP81377,Khan
42 Her,249.686854,48.928342,4.90,M2.5III,HD150450,HIP81497,
R Ara,249.936357,-56.994423,6.17,B5V+F1IV,HD149730,HIP81589,
36 Her,250.146460,4.207203,6.93,B9V,HD150379,HIP81634,
37 Her,250.161197,4.219790,5.76,B9V,HD150378,HIP81641,
18 g Dra,250.229662,64.589045,4.84,K0IIICN-0.5CH-2Ca1,HD151101,HIP81660,
40 zet Her,250.321504,31.602719,2.80,G0IV,HD150680,HIP81693,
eta01 TrA,250.346282,-68.296122,5.88,B7V,HD149671,HIP81710,
24 Sco,250.393265,-17.742167,4.92,G7.5II-IIICN1Ba0.5,HD150416,HIP81724,
39 Her,250.402914,26.916880,5.92,F3V:+F3V:,HD150682,HIP81729,
14 Oph,250.427008,1.181231,5.72,F2V,HD150557,HIP81734,
44 eta Her,250.724021,38.922255,3.50,G7IIIFe-1,HD150997,HIP81833,
bet Aps,250.769411,-77.517433,4.24,K0III,HD149324,HIP81852,
41 Her,251.249939,6.088157,6.57,G8,HD151090,HIP81991,
16 Oph,251.373645,1.020163,6.02,B9IV/V,HD151133,HIP82037,
43 i Her,251.457883,8.582614,5.15,K5III,HD151217,HIP82073,
22 eps UMi,251.492682,82.037258,4.21,G5III,HD153751,HIP82080,
25 Sco,251.713936,-25.528574,6.72,K0II,HD151179,HIP82140,
19 Oph,251.790638,2.064529,6.08,A1IV,HD151431,HIP82162,
45 l Her,251.943417,5.246748,5.24,A1VpSi,HD151525,HIP82216,
alf TrA,252.166230,-69.027712,1.88,K2III_Ba1,HD150798,HIP82273,Atria
52 Her,252.309243,45.983323,4.82,A1VpSiSrCr,HD152107,HIP82321,
48 Her,252.313655,29.964712,6.58,K1II-III,HD151937,HIP82324,
18 Oph,252.435133,-24.640744,6.74,A1mA3/5-A7,HD151659,,
eta Ara,252.446485,-59.041379,3.74,K5III,HD151249,HIP82363,
20 Oph,252.458407,-10.783065,4.63,F7V,HD151769,HIP82369,
26 eps Sco,252.540878,-34.293232,2.29,K1III,HD151680,HIP82396,
47 k Her,252.580753,7.247684,5.47,A3m,HD151956,HIP82402,
50 Her,252.662327,29.806540,5.72,M1III,HD152173,HIP82422,
21 Oph,252.853869,1.215947,5.51,A0V,HD152127,HIP82480,
51 Her,252.938590,24.656433,5.03,K0.5IIIaCa0.5,HD152326,HIP82504,
mu.01 Sco,252.967618,-38.047399,2.98,B1V+B,HD151890,HIP82514,
S Her,252.974662,14.941879,6.40,M4-7.5Se,HD152276,,
49 Her,253.020211,14.974214,6.49,B9.5pSiCr,HD152308,HIP82526,
mu.02 Sco,253.083939,-38.017535,3.54,B2IV,HD151985,HIP82545,
53 Her,253.241907,31.701673,5.33,F0V,HD152598,HIP82587,
zet01 Sco,253.498863,-42.362030,4.79,B1.5Ia+,HD152236,HIP82671,
25 iot Oph,253.501965,10.165361,4.38,B8V,HD152614,HIP82673,
zet02 Sco,253.645854,-42.361316,3.62,K3III,HD152334,HIP82729,Grafias
23 Oph,253.648725,-6.153981,5.23,K1IICNIII,HD152601,HIP82730,
56 Her,253.759004,25.730681,6.06,G5III,HD152863,HIP82780,
54 Her,253.842365,18.433212,5.35,K4III,HD152879,HIP82802,
RS Sco,253.907572,-45.102976,8.12,M6-7e,HD152476,,
19 h Dra,254.007039,65.134795,4.88,F8V,HD153597,HIP82860,
20 Dra,254.105278,65.039125,6.40,F2.2V,HD153697,HIP82898,
RR Sco,254.157661,-30.580059,6.10,M6+e,HD152783,HIP82912,
24 Oph,254.200162,-23.150339,5.58,A0V,HD152849,HIP82925,
27 Sco,254.296562,-33.259492,5.49,K5III,HD152820,HIP82960,
